subset,source,n_days,n_hail_days,mean_mm,max_mm,p50_mm,p75_mm,p90_mm,p95_mm,p99_mm
all_months,MYRORSS,5023,5000,75.32601638641357,299.99407958984375,61.794063568115234,94.20565605163574,146.43267822265625,214.68790969848638,292.1357379150391
all_months,GridRad,2714,2713,60.83973229489465,216.9394073486328,55.77251052856445,65.8261489868164,83.7270172119141,116.14840240478516,170.7515411376953
all_months,MRMS,2060,2060,91.52305821724309,300.0,80.85000228881836,107.95000076293945,152.5399993896485,208.98999404907218,295.84099029541017
may_only,MYRORSS,434,434,84.84191783562234,299.98162841796875,79.30731582641602,105.49867057800293,126.03676071166991,157.26863708496086,268.93742828369153
may_only,GridRad,279,278,70.20512649481245,216.9394073486328,64.44010925292969,71.76802253723145,101.28169555664067,136.4364135742187,170.55592758178736
may_only,MRMS,186,186,109.37419376578383,299.0,101.85000228881836,118.14999771118164,146.0,205.2750015258789,287.695004272461
