date,month,source,peak_mm,peak_in,active_cells,tag_source,path
1998-05-15,5,MYRORSS,41.2651252746582,1.6246112312857561,1652,raster,data/historical/mesh_0.05deg/1998/mesh_19980515.tif
1998-05-16,5,MYRORSS,109.0533447265625,4.293438768762304,5784,raster,data/historical/mesh_0.05deg/1998/mesh_19980516.tif
1998-05-17,5,MYRORSS,100.14246368408203,3.9426166804756706,4861,raster,data/historical/mesh_0.05deg/1998/mesh_19980517.tif
1998-05-18,5,MYRORSS,62.305503845214844,2.4529725923312933,3825,raster,data/historical/mesh_0.05deg/1998/mesh_19980518.tif
1998-05-19,5,MYRORSS,64.16999053955078,2.5263775802972748,8487,raster,data/historical/mesh_0.05deg/1998/mesh_19980519.tif
1998-05-20,5,MYRORSS,67.314453125,2.65017531988189,10870,raster,data/historical/mesh_0.05deg/1998/mesh_19980520.tif
1998-05-21,5,MYRORSS,109.88375091552734,4.326131925808164,12082,raster,data/historical/mesh_0.05deg/1998/mesh_19980521.tif
1998-05-22,5,MYRORSS,160.0855712890625,6.302581546813484,5272,raster,data/historical/mesh_0.05deg/1998/mesh_19980522.tif
1998-05-23,5,MYRORSS,211.01943969726562,8.307851956585262,3226,raster,data/historical/mesh_0.05deg/1998/mesh_19980523.tif
1998-05-24,5,MYRORSS,80.80149841308594,3.1811613548459032,6707,raster,data/historical/mesh_0.05deg/1998/mesh_19980524.tif
1998-05-25,5,MYRORSS,221.47195434570312,8.719368281326895,7804,raster,data/historical/mesh_0.05deg/1998/mesh_19980525.tif
1998-05-26,5,MYRORSS,109.08760833740234,4.2947877298189905,19058,raster,data/historical/mesh_0.05deg/1998/mesh_19980526.tif
1998-05-27,5,MYRORSS,61.176246643066406,2.408513647364819,6744,raster,data/historical/mesh_0.05deg/1998/mesh_19980527.tif
1998-05-28,5,MYRORSS,67.12908172607422,2.6428772333100086,4699,raster,data/historical/mesh_0.05deg/1998/mesh_19980528.tif
1998-05-29,5,MYRORSS,65.970947265625,2.5972813884104333,6662,raster,data/historical/mesh_0.05deg/1998/mesh_19980529.tif
1998-05-30,5,MYRORSS,57.80335235595703,2.275722533699096,3182,raster,data/historical/mesh_0.05deg/1998/mesh_19980530.tif
1998-05-31,5,MYRORSS,44.863182067871094,1.7662670105461062,484,raster,data/historical/mesh_0.05deg/1998/mesh_19980531.tif
1998-06-01,6,MYRORSS,88.21537780761719,3.4730463703786296,4919,raster,data/historical/mesh_0.05deg/1998/mesh_19980601.tif
1998-06-02,6,MYRORSS,57.52647399902344,2.264821810985175,7684,raster,data/historical/mesh_0.05deg/1998/mesh_19980602.tif
1998-06-03,6,MYRORSS,71.40091705322266,2.811059726504829,5656,raster,data/historical/mesh_0.05deg/1998/mesh_19980603.tif
1998-06-04,6,MYRORSS,108.34712982177734,4.265635032353439,4856,raster,data/historical/mesh_0.05deg/1998/mesh_19980604.tif
1998-06-05,6,MYRORSS,140.0858612060547,5.515191386065146,5260,raster,data/historical/mesh_0.05deg/1998/mesh_19980605.tif
1998-06-06,6,MYRORSS,98.93413543701172,3.8950447022445562,5101,raster,data/historical/mesh_0.05deg/1998/mesh_19980606.tif
1998-06-07,6,MYRORSS,88.33438873291016,3.477731839878353,19407,raster,data/historical/mesh_0.05deg/1998/mesh_19980607.tif
1998-06-08,6,MYRORSS,143.1807403564453,5.637037021907296,8527,raster,data/historical/mesh_0.05deg/1998/mesh_19980608.tif
1998-06-09,6,MYRORSS,113.49320983886719,4.468236607829417,7756,raster,data/historical/mesh_0.05deg/1998/mesh_19980609.tif
1998-06-10,6,MYRORSS,236.4696502685547,9.3098287507305,19885,raster,data/historical/mesh_0.05deg/1998/mesh_19980610.tif
1998-06-11,6,MYRORSS,193.394287109375,7.613948311392717,8794,raster,data/historical/mesh_0.05deg/1998/mesh_19980611.tif
1998-06-12,6,MYRORSS,212.25979614257812,8.356684887503077,10805,raster,data/historical/mesh_0.05deg/1998/mesh_19980612.tif
1998-06-13,6,MYRORSS,0.0,0.0,0,raster,data/historical/mesh_0.05deg/1998/mesh_19980613.tif
1998-06-14,6,MYRORSS,33.8719482421875,1.3335412693774606,4655,raster,data/historical/mesh_0.05deg/1998/mesh_19980614.tif
1998-06-15,6,MYRORSS,57.891048431396484,2.27917513509435,1402,raster,data/historical/mesh_0.05deg/1998/mesh_19980615.tif
1998-06-16,6,MYRORSS,178.9527130126953,7.045382402074619,6593,raster,data/historical/mesh_0.05deg/1998/mesh_19980616.tif
1998-06-17,6,MYRORSS,85.05133819580078,3.3484778817244405,7698,raster,data/historical/mesh_0.05deg/1998/mesh_19980617.tif
1998-06-18,6,MYRORSS,93.29701232910156,3.6731107216181718,4735,raster,data/historical/mesh_0.05deg/1998/mesh_19980618.tif
1998-06-19,6,MYRORSS,82.54267120361328,3.2497114647091845,2359,raster,data/historical/mesh_0.05deg/1998/mesh_19980619.tif
1998-06-20,6,MYRORSS,101.37639617919922,3.9911966999684734,3898,raster,data/historical/mesh_0.05deg/1998/mesh_19980620.tif
1998-06-21,6,MYRORSS,81.2763900756836,3.1998578769954173,12477,raster,data/historical/mesh_0.05deg/1998/mesh_19980621.tif
1998-06-22,6,MYRORSS,70.4549331665039,2.773816266397792,18929,raster,data/historical/mesh_0.05deg/1998/mesh_19980622.tif
1998-06-23,6,MYRORSS,89.5578384399414,3.5258991511787956,11689,raster,data/historical/mesh_0.05deg/1998/mesh_19980623.tif
1998-06-24,6,MYRORSS,83.1495590209961,3.273604685865988,7755,raster,data/historical/mesh_0.05deg/1998/mesh_19980624.tif
1998-06-25,6,MYRORSS,59.8453483581543,2.3561160770926888,7756,raster,data/historical/mesh_0.05deg/1998/mesh_19980625.tif
1998-06-26,6,MYRORSS,95.96417999267578,3.778117322546291,7150,raster,data/historical/mesh_0.05deg/1998/mesh_19980626.tif
1998-06-27,6,MYRORSS,85.97496795654297,3.384841258131613,1486,raster,data/historical/mesh_0.05deg/1998/mesh_19980627.tif
1998-06-28,6,MYRORSS,82.63327026367188,3.2532783568374755,2066,raster,data/historical/mesh_0.05deg/1998/mesh_19980628.tif
1998-06-29,6,MYRORSS,107.31400299072266,4.2249607476662465,6513,raster,data/historical/mesh_0.05deg/1998/mesh_19980629.tif
1998-06-30,6,MYRORSS,63.5035285949707,2.500138921061839,14234,raster,data/historical/mesh_0.05deg/1998/mesh_19980630.tif
1998-07-01,7,MYRORSS,88.2117691040039,3.4729042954332248,23295,raster,data/historical/mesh_0.05deg/1998/mesh_19980701.tif
1998-07-02,7,MYRORSS,74.62413024902344,2.9379578838198204,21470,raster,data/historical/mesh_0.05deg/1998/mesh_19980702.tif
1998-07-03,7,MYRORSS,66.84673309326172,2.631761145404005,20685,raster,data/historical/mesh_0.05deg/1998/mesh_19980703.tif
1998-07-04,7,MYRORSS,67.7269058227539,2.6664136150690516,18494,raster,data/historical/mesh_0.05deg/1998/mesh_19980704.tif
1998-07-05,7,MYRORSS,124.68123626708984,4.908710089255506,19112,raster,data/historical/mesh_0.05deg/1998/mesh_19980705.tif
1998-07-06,7,MYRORSS,102.21112823486328,4.024060166726901,22205,raster,data/historical/mesh_0.05deg/1998/mesh_19980706.tif
1998-07-07,7,MYRORSS,70.0500717163086,2.757876839224748,25064,raster,data/historical/mesh_0.05deg/1998/mesh_19980707.tif
1998-07-08,7,MYRORSS,160.6494903564453,6.324783084899422,28382,raster,data/historical/mesh_0.05deg/1998/mesh_19980708.tif
1998-07-09,7,MYRORSS,77.38914489746094,3.046816728246494,20954,raster,data/historical/mesh_0.05deg/1998/mesh_19980709.tif
1998-07-10,7,MYRORSS,71.16279602050781,2.8016848826971583,20764,raster,data/historical/mesh_0.05deg/1998/mesh_19980710.tif
1998-07-11,7,MYRORSS,108.81004333496094,4.28385997381736,21138,raster,data/historical/mesh_0.05deg/1998/mesh_19980711.tif
1998-07-12,7,MYRORSS,94.24134063720703,3.7102890014648438,7139,raster,data/historical/mesh_0.05deg/1998/mesh_19980712.tif
1998-07-13,7,MYRORSS,67.71380615234375,2.665897880013534,12014,raster,data/historical/mesh_0.05deg/1998/mesh_19980713.tif
1998-07-14,7,MYRORSS,122.06407928466797,4.8056724127822035,11390,raster,data/historical/mesh_0.05deg/1998/mesh_19980714.tif
1998-07-15,7,MYRORSS,65.19355773925781,2.5666755015455833,9998,raster,data/historical/mesh_0.05deg/1998/mesh_19980715.tif
1998-07-16,7,MYRORSS,68.49649047851562,2.6967122235636074,8780,raster,data/historical/mesh_0.05deg/1998/mesh_19980716.tif
1998-07-17,7,MYRORSS,90.08527374267578,3.546664320577787,9327,raster,data/historical/mesh_0.05deg/1998/mesh_19980717.tif
1998-07-18,7,MYRORSS,67.43727111816406,2.655010673943467,9851,raster,data/historical/mesh_0.05deg/1998/mesh_19980718.tif
1998-07-19,7,MYRORSS,102.20851135253906,4.023957139863743,13273,raster,data/historical/mesh_0.05deg/1998/mesh_19980719.tif
1998-07-20,7,MYRORSS,88.34259033203125,3.4780547374815454,17241,raster,data/historical/mesh_0.05deg/1998/mesh_19980720.tif
1998-07-21,7,MYRORSS,213.52645874023438,8.406553493710016,17035,raster,data/historical/mesh_0.05deg/1998/mesh_19980721.tif
1998-07-22,7,MYRORSS,100.36669158935547,3.9514445507620266,19613,raster,data/historical/mesh_0.05deg/1998/mesh_19980722.tif
1998-07-23,7,MYRORSS,65.35814666748047,2.5731553806094674,23956,raster,data/historical/mesh_0.05deg/1998/mesh_19980723.tif
1998-07-24,7,MYRORSS,44.007476806640625,1.7325778270330956,19987,raster,data/historical/mesh_0.05deg/1998/mesh_19980724.tif
1998-07-25,7,MYRORSS,53.334205627441406,2.0997718750961183,15234,raster,data/historical/mesh_0.05deg/1998/mesh_19980725.tif
1998-07-26,7,MYRORSS,100.89727783203125,3.972333772914616,11518,raster,data/historical/mesh_0.05deg/1998/mesh_19980726.tif
1998-07-27,7,MYRORSS,69.59953308105469,2.7401390976793185,21340,raster,data/historical/mesh_0.05deg/1998/mesh_19980727.tif
1998-07-28,7,MYRORSS,89.58342742919922,3.5269065917007567,24712,raster,data/historical/mesh_0.05deg/1998/mesh_19980728.tif
