subset,source,n_days,n_hail_days,mean_raw_mm,mean_cal_mm,max_raw_mm,max_cal_mm,p50_raw_mm,p75_raw_mm,p90_raw_mm,p95_raw_mm,p99_raw_mm,p50_cal_mm,p75_cal_mm,p90_cal_mm,p95_cal_mm,p99_cal_mm
all_months,MYRORSS,5023,5000,75.32601638641357,56.9110575592041,299.99407958984375,107.80547332763672,61.794063568115234,94.20565605163574,146.43267822265625,214.68790969848638,292.1357379150391,56.22642135620117,66.89445304870605,80.22565307617188,93.923681640625,106.6329175567627
all_months,GridRad,2714,2713,60.83973229489465,60.83973229489465,216.9394073486328,216.9394073486328,55.77251052856445,65.8261489868164,83.7270172119141,116.14840240478516,170.7515411376953,55.77251052856445,65.8261489868164,83.7270172119141,116.14840240478516,170.7515411376953
all_months,MRMS,2060,2060,91.52305821724309,63.72563141109874,300.0,107.80635070800781,80.85000228881836,107.95000076293945,152.5399993896485,208.98999404907218,295.84099029541017,62.81083106994629,70.75515747070312,81.58765182495118,92.88849067687987,107.18806427001954
may_only,MYRORSS,434,434,84.84191783562234,61.93631213491413,299.98162841796875,107.80363464355469,79.30731582641602,105.49867057800293,126.03676071166991,157.26863708496086,268.93742828369153,62.314260482788086,70.08770561218262,75.4179458618164,82.61989097595213,103.0573091888428
may_only,GridRad,279,278,70.20512649481245,70.20512649481245,216.9394073486328,216.9394073486328,64.44010925292969,71.76802253723145,101.28169555664067,136.4364135742187,170.55592758178736,64.44010925292969,71.76802253723145,101.28169555664067,136.4364135742187,170.55592758178736
may_only,MRMS,186,186,109.37419376578383,70.04288310389364,299.0,107.65815734863281,101.85000228881836,118.14999771118164,146.0,205.2750015258789,287.695004272461,69.07967758178711,73.43668556213379,80.12786483764648,92.19951438903809,105.9610424041748
